strategy,family,generator,selector,selection_space,deployable,tuned_on_dev,state_index,split,dataset_row,episode,start,true,success,selected_step
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,0,dev,245806,2044,46,15.563966752877263,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,1,test,296763,2520,55,19.55028305928886,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,2,dev,471147,3828,39,2.092684296215925,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,3,test,848701,6847,14,208.6569997655305,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,4,dev,1049810,8454,45,300.2380243798767,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,5,test,1122504,9098,3,49.11259483739668,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,6,dev,1160225,9474,0,205.61621987606364,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,7,test,1208937,9886,77,166.61761686877077,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,8,dev,1592285,12683,4,19.119813493112364,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,9,test,1903024,15156,68,14.5130392831485,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,10,dev,1948264,15612,0,106.00594434598274,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,11,test,2162198,17247,85,14.67405791142858,True,29
